"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","4866953880","93936600","305040","3531","145155","120888","2333","51.81","League of Legends"
"Fortnite","2","Fortnite","3941636040","206765640","261996","10523","400784","97904","5135","19.06","Fortnite"
"PLAYERUNKNOWN'S BATTLEGROUNDS","3","PLAYERUNKNOWN'S BATTLEGROUNDS","2602987860","115198020","482947","4482","203898","64654","2861","22.6","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Counter-Strike: Global Offensive","4","Counter-Strike: Global Offensive","2249192760","46736040","360635","2315","120998","55866","1160","48.13","Counter-Strike: Global Offensive"
"Dota 2","5","Dota 2","1978666380","23123820","285802","966","32216","49147","574","85.57","Dota 2"
"IRL","6","IRL","1711696920","25019760","96698","904","73216","42516","621","68.41","IRL"
"Hearthstone","7","Hearthstone","1677977400","11433720","89010","446","26634","41678","283","146.76","Hearthstone"
"Overwatch","8","Overwatch","1602809580","53922060","226758","2491","125449","39811","1339","29.72","Overwatch"
"World of Warcraft","9","World of Warcraft","911135400","37573320","85439","2268","49978","22631","933","24.25","World of Warcraft"
"Grand Theft Auto V","10","Grand Theft Auto V","877693380","18724320","82575","937","43582","21800","465","46.87","Grand Theft Auto V"
"Monster Hunter: World","11","Monster Hunter: World","790538040","25155420","74336","1460","85154","19635","624","31.43","Monster Hunter: World"
"Tom Clancy's Rainbow Six: Siege","12","Tom Clancy's Rainbow Six: Siege","682416300","33512820","253151","1620","93982","16950","832","20.36","Tom Clancy's Rainbow Six: Siege"
"Kingdom Come: Deliverance","13","Kingdom Come: Deliverance","634765020","11278140","211281","1561","20465","15766","280","56.28","Kingdom Come: Deliverance"
"Slay the Spire","14","Slay the Spire","297178920","4943100","48164","211","10677","7381","122","60.12","Slay the Spire"
"Heroes of the Storm","15","Heroes of the Storm","271627680","7721520","32456","330","13493","6746","191","35.18","Heroes of the Storm"
"Talk Shows & Podcasts","16","Talk Shows & Podcasts","262569180","2464500","62609","127","8175","6521","61","106.54","Talk Shows & Podcasts"
"FIFA 18","17","FIFA 18","262046820","9775440","40252","651","30492","6508","242","26.81","FIFA 18"
"RuneScape","18","RuneScape","247714200","6540120","16167","281","9074","6152","162","37.88","RuneScape"
"Poker","19","Poker","236526240","2373840","30678","182","2577","5874","58","99.64","Poker"
"StarCraft II","20","StarCraft II","236051280","3738300","37355","184","6361","5863","92","63.14","StarCraft II"
"Dragon Ball FighterZ","21","Dragon Ball FighterZ","231184380","6514020","45122","494","24416","5742","161","35.49","Dragon Ball FighterZ"
"Dead by Daylight","22","Dead by Daylight","230592900","13511280","26853","570","23035","5727","335","17.07","Dead by Daylight"
"Creative","23","Creative","219358620","15642660","24266","623","30413","5448","388","14.02","Creative"
"Subnautica","24","Subnautica","214081080","7862760","29412","496","15943","5317","195","27.23","Subnautica"
"Hunt: Showdown","25","Hunt: Showdown","211843140","3532020","77406","308","11225","5261","87","59.98","Hunt: Showdown"
