"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5726202180","127565580","1782765","4512","200004","132735","2957","44.89","League of Legends"
"Just Chatting","2","Just Chatting","4096032900","64047600","287294","2373","161010","94947","1484","63.95","Just Chatting"
"Fortnite","3","Fortnite","3513159540","211766280","405467","10287","429521","81436","4908","16.59","Fortnite"
"Counter-Strike: Global Offensive","4","Counter-Strike: Global Offensive","2136389700","53409180","299143","2500","129703","49522","1238","40","Counter-Strike: Global Offensive"
"Dota 2","5","Dota 2","2086255920","25693140","243245","1267","30472","48360","595","81.2","Dota 2"
"Grand Theft Auto V","6","Grand Theft Auto V","1988931180","34021620","213843","1653","60014","46104","788","58.46","Grand Theft Auto V"
"Pokémon Sword/Shield","7","Pokémon Sword/Shield","1630382220","30105000","187166","4414","32492","37792","697","54.16","Pokémon Sword/Shield"
"Call Of Duty: Modern Warfare","8","Call Of Duty: Modern Warfare","1627964220","85010280","142668","4844","205192","37736","1970","19.15","Call Of Duty: Modern Warfare"
"World of Warcraft","9","World of Warcraft","1610939640","56985840","163200","3684","62881","37342","1320","28.27","World of Warcraft"
"Hearthstone","10","Hearthstone","1582369500","10065240","97122","542","17606","36679","233","157.21","Hearthstone"
"FIFA 20","11","FIFA 20","1339077300","19652640","222599","1139","42197","31040","455","68.14","FIFA 20"
"Death Stranding","12","Death Stranding","1233477900","19279980","290087","2230","32695","28592","446","63.98","Death Stranding"
"PLAYERUNKNOWN'S BATTLEGROUNDS","13","PLAYERUNKNOWN'S BATTLEGROUNDS","980782560","44584320","117550","1628","64088","22734","1033","22","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Overwatch","14","Overwatch","964737360","42447060","211751","1561","86095","22362","983","22.73","Overwatch"
"Minecraft","15","Minecraft","945830340","37025520","136705","1797","99507","21924","858","25.55","Minecraft"
"Escape From Tarkov","16","Escape From Tarkov","850953300","23602140","44481","926","19894","19725","547","36.05","Escape From Tarkov"
"Apex Legends","17","Apex Legends","785137320","64776480","46393","2433","111172","18199","1501","12.12","Apex Legends"
"Star Wars Jedi: Fallen Order","18","Star Wars Jedi: Fallen Order","759830940","18109020","200398","2908","49245","17613","419","41.96","Star Wars Jedi: Fallen Order"
"Slots","19","Slots","626089380","3928560","63045","165","3607","14512","91","159.37","Slots"
"Teamfight Tactics","20","Teamfight Tactics","599757360","14859420","43088","845","37625","13902","344","40.36","Teamfight Tactics"
"Dead by Daylight","21","Dead by Daylight","578107380","28238040","56086","1555","45355","13400","654","20.47","Dead by Daylight"
"Tom Clancy's Rainbow Six: Siege","22","Tom Clancy's Rainbow Six: Siege","529939740","37737240","80020","1608","98687","12284","874","14.04","Tom Clancy's Rainbow Six: Siege"
"Red Dead Redemption 2","23","Red Dead Redemption 2","459777300","20158860","128607","1898","33232","10657","467","22.81","Red Dead Redemption 2"
"Destiny 2","24","Destiny 2","352870320","30671400","27502","1590","53302","8179","710","11.5","Destiny 2"
"Rocket League","25","Rocket League","339580800","15285600","85526","633","50438","7871","354","22.22","Rocket League"
