"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","9125173860","484435860","827125","19495","945248","204692","10866","18.84","Fortnite"
"League of Legends","2","League of Legends","4547015040","81803160","229347","2772","138178","101996","1834","55.58","League of Legends"
"IRL","3","IRL","2884671360","41296260","159265","1327","128913","64707","926","69.85","IRL"
"PLAYERUNKNOWN'S BATTLEGROUNDS","4","PLAYERUNKNOWN'S BATTLEGROUNDS","2652330240","86971200","579861","3330","146943","59495","1950","30.5","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Dota 2","5","Dota 2","1724815980","26346120","150725","1068","35388","38690","590","65.47","Dota 2"
"Hearthstone","6","Hearthstone","1671624420","10676880","115029","367","23172","37497","239","156.56","Hearthstone"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","1605751020","41463840","237413","1641","115318","36019","930","38.73","Counter-Strike: Global Offensive"
"Overwatch","8","Overwatch","1512675300","58291440","344591","2360","131507","33931","1307","25.95","Overwatch"
"World of Warcraft","9","World of Warcraft","1320499320","37443540","128223","1843","56431","29620","839","35.27","World of Warcraft"
"Grand Theft Auto V","10","Grand Theft Auto V","969877860","27050760","67222","1572","68131","21755","606","35.85","Grand Theft Auto V"
"Tom Clancy's Rainbow Six: Siege","11","Tom Clancy's Rainbow Six: Siege","786410220","40527780","64425","1463","113149","17640","909","19.4","Tom Clancy's Rainbow Six: Siege"
"Dead by Daylight","12","Dead by Daylight","722128020","24328920","57513","965","37508","16198","545","29.68","Dead by Daylight"
"Heroes of the Storm","13","Heroes of the Storm","499173900","9668880","40790","341","15698","11197","216","51.63","Heroes of the Storm"
"Casino_old","14","Casino_old","376980240","3398460","29507","114","1421","8456","76","110.93","Casino_old"
"Warframe","15","Warframe","375647760","16341780","402554","629","32441","8426","366","22.99","Warframe"
"StarCraft II","16","StarCraft II","323058960","3991140","81780","152","6762","7246","89","80.94","StarCraft II"
"Minecraft","17","Minecraft","311602260","17305740","48864","687","48608","6989","388","18.01","Minecraft"
"Realm Royale","18","Realm Royale","283957200","9491580","193264","482","26676","6369","212","29.92","Realm Royale"
"Talk Shows & Podcasts","19","Talk Shows & Podcasts","282146460","2972340","69940","127","8530","6328","66","94.92","Talk Shows & Podcasts"
"Music","20","Music","277140660","10314840","23620","318","10983","6216","231","26.87","Music"
"Destiny 2","21","Destiny 2","272261400","21785400","42725","1823","40596","6107","488","12.5","Destiny 2"
"Escape From Tarkov","22","Escape From Tarkov","271423080","8827800","53701","443","10080","6088","198","30.75","Escape From Tarkov"
"Creative","23","Creative","260097840","17891640","23175","654","34122","5834","401","14.54","Creative"
"No Man's Sky","24","No Man's Sky","256753740","8097960","118853","1264","23669","5759","181","31.71","No Man's Sky"
"ARK: Survival Evolved","25","ARK: Survival Evolved","252957300","8825160","40648","319","13968","5674","197","28.66","ARK: Survival Evolved"
