"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Just Chatting","1","Just Chatting","10480909740","146334780","777678","12126","310815","242951","3392","71.62","Just Chatting"
"League of Legends","2","League of Legends","8597417760","179843520","556963","7519","215394","199291","4168","47.8","League of Legends"
"Fortnite","3","Fortnite","6703998900","581198640","2331987","115814","733031","155400","13472","11.53","Fortnite"
"Grand Theft Auto V","4","Grand Theft Auto V","6031982100","100871940","389147","4500","145049","139823","2338","59.8","Grand Theft Auto V"
"Call Of Duty: Modern Warfare","5","Call Of Duty: Modern Warfare","5210196600","325509660","397249","13985","384367","120774","7545","16.01","Call Of Duty: Modern Warfare"
"Escape From Tarkov","6","Escape From Tarkov","4672609620","55208460","304888","2408","39629","108312","1279","84.64","Escape From Tarkov"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","4560079920","84221340","499919","4209","149577","105704","1952","54.14","Counter-Strike: Global Offensive"
"VALORANT","8","VALORANT","3333600360","238201680","250805","14194","331747","77274","5521","13.99","VALORANT"
"Dota 2","9","Dota 2","2470626840","34148820","212444","1490","27354","57269","791","72.35","Dota 2"
"Minecraft","10","Minecraft","2332695360","103684320","397172","4747","214199","54072","2403","22.5","Minecraft"
"World of Warcraft","11","World of Warcraft","1944034080","67188120","137907","4178","59924","45063","1557","28.93","World of Warcraft"
"The Last of Us Part II","12","The Last of Us Part II","1771625100","29469540","508463","5893","68587","41066","683","60.12","The Last of Us Part II"
"Apex Legends","13","Apex Legends","1715735400","119685240","100600","4710","154296","39771","2774","14.34","Apex Legends"
"FIFA 20","14","FIFA 20","1479102960","39098940","205599","2865","77416","34286","906","37.83","FIFA 20"
"Hearthstone","15","Hearthstone","1202822820","9773220","126693","419","12361","27881","226","123.07","Hearthstone"
"Music","16","Music","1087892520","38100660","173802","1806","38285","25217","883","28.55","Music"
"Dead by Daylight","17","Dead by Daylight","1028636400","55213440","83669","2915","74973","23844","1279","18.63","Dead by Daylight"
"Overwatch","18","Overwatch","921846600","49178220","68028","1756","78735","21368","1139","18.75","Overwatch"
"Teamfight Tactics","19","Teamfight Tactics","838986900","16937160","50374","945","32964","19448","392","49.54","Teamfight Tactics"
"Sea of Thieves","20","Sea of Thieves","784473660","28786380","63429","1447","42558","18184","667","27.25","Sea of Thieves"
"Path of Exile","21","Path of Exile","782968380","15674280","136329","3911","13311","18149","363","49.95","Path of Exile"
"Slots","22","Slots","759529680","4236240","89825","209","3814","17606","98","179.29","Slots"
"Chess","23","Chess","757367340","3943920","155183","189","10241","17556","91","192.03","Chess"
"PLAYERUNKNOWN'S BATTLEGROUNDS","24","PLAYERUNKNOWN'S BATTLEGROUNDS","748276200","30524340","80565","1061","34621","17345","707","24.51","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Tom Clancy's Rainbow Six: Siege","25","Tom Clancy's Rainbow Six: Siege","720833580","76780260","49198","3779","133945","16709","1779","9.39","Tom Clancy's Rainbow Six: Siege"
